Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
esfp 궁합,Informational,590,"1.00,0.82,0.67,0.67,0.67,0.82,0.67,0.54,1.00,1.00,1.00,0.67",23,0.00,0.33,"Image pack, Video, Video carousel, People also ask, Related searches"
무료 연인 궁합,Informational,590,"1.00,0.67,1.00,0.82,0.67,0.67,0.82,0.54,0.44,0.29,0.29,0.36",23,0.35,0.21,"Video, Related searches"
애정 운,Informational,590,"1.00,1.00,1.00,0.82,0.82,1.00,0.82,0.67,0.67,0.82,0.82,0.67",28,0.51,0.24,"AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle"
이름 궁합 계산기,Informational,590,"0.59,0.59,0.59,0.48,0.59,0.88,0.48,0.32,1.00,0.88,0.88,0.88",10,0.00,0.33,"Reviews, Video, Related searches"
이름 궁합 보는 법,Informational,590,"0.39,0.39,0.48,0.48,0.48,0.72,0.59,0.39,1.00,0.72,0.88,0.59",17,0.28,0.01,"AI Overview, Image pack, Video, Related searches"
잘 맞는 무료 궁합,Informational,590,"0.82,0.67,0.67,0.82,0.67,1.00,0.67,0.55,0.44,0.44,0.55,0.36",31,0.32,0.23,"AI Overview, Video, Related searches"
혈액형 궁합,Informational,590,"1.00,1.00,0.82,0.82,0.82,0.82,0.82,0.67,0.67,0.67,0.67,0.67",24,0.00,0.01,"Image, Image pack, Video, People also ask, Related searches"
연애 궁합,Informational,480,"0.54,0.44,0.54,0.67,0.67,0.82,0.54,0.54,0.54,0.67,0.67,1.00",21,0.41,0.11,"Video, Related searches"
연애 궁합 무료,Informational,480,"1.00,0.81,0.81,1.00,0.81,1.00,0.67,0.67,0.81,0.81,0.67,1.00",23,0.29,0.21,"Video, Related searches"
재미 로 보는 이름 궁합,Informational,480,"0.82,0.19,0.55,0.67,0.82,1.00,0.24,0.12,0.36,0.82,1.00,1.00",16,0.00,0.33,"Image pack, Video, Related searches"
포스 텔러 궁합,Informational,480,"0.67,0.67,1.00,1.00,0.67,0.54,0.67,0.54,0.67,0.82,0.54,0.54",13,0.49,0.06,"AI Overview, Video, Related searches"
하하 사주,Informational,480,"0.81,1.00,0.81,0.81,0.81,1.00,1.00,0.81,0.66,0.66,0.66,0.66",22,1.07,0.04,"Sitelinks, Video, Related searches"
궁합 보기,Informational,390,"0.32,0.32,0.32,0.32,0.32,0.39,0.48,0.59,0.48,0.88,0.88,1.00",27,0.33,0.21,"Video, Related searches"
무료 정통 궁합,Informational,390,"0.66,0.66,1.00,0.81,0.66,0.66,0.54,0.36,0.54,0.66,0.54,0.54",28,0.25,0.10,"AI Overview, Video, Related searches"
손 조이 전화 번호 궁합,Informational,390,"0.01,0.02,0.01,0.01,0.02,0.11,0.24,0.45,0.55,0.62,1.00,1.00",12,0.00,0.33,"AI Overview, Reviews, Video"
이름 궁합 하는 법,Informational,390,"0.81,0.54,0.44,0.54,0.66,0.66,0.66,0.54,1.00,0.66,0.81,1.00",16,0.00,0.33,"Image pack, Video, People also ask, Related searches"
커플 궁합,Informational,390,"0.67,0.67,0.67,0.81,0.67,1.00,0.81,0.67,0.67,0.81,0.81,0.67",21,0.40,0.12,"Image pack, Video, Related searches"
entp infp 궁합,Informational,320,"0.67,0.67,0.67,1.00,1.00,1.00,0.82,0.67,0.82,0.82,0.67,0.67",19,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
istp infp 궁합,Informational,320,"0.67,0.67,0.67,1.00,1.00,0.82,0.82,1.00,1.00,1.00,1.00,0.82",21,0.00,0.33,"AI Overview, Image pack, Video"
고구마 계란 궁합,Informational,320,"0.19,0.19,0.44,0.54,1.00,0.67,0.67,0.54,0.44,0.44,0.29,0.24",27,0.00,0.33,"AI Overview, Video, Short videos, People also ask, Related searches"
고구마 우유 궁합,Informational,320,"0.24,0.29,0.44,0.66,1.00,0.81,0.81,0.54,0.44,0.36,0.36,0.24",23,0.00,0.33,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
말띠 궁합,Informational,320,"0.67,0.54,0.67,0.67,0.54,0.81,1.00,0.67,0.54,0.44,0.54,0.54",19,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
무료 궁합 사이트,Informational,320,"1.00,1.00,0.54,0.54,0.67,0.81,0.81,0.44,0.35,0.54,0.54,0.54",34,0.35,0.11,"AI Overview, Related searches"
무료 궁합 사주,Informational,320,"0.36,0.36,0.36,0.44,0.44,0.44,0.54,0.44,0.67,0.67,1.00,1.00",28,0.29,0.23,"AI Overview, Video, Related searches"
무료 연애운,Informational,320,"0.67,0.67,0.67,1.00,0.54,0.67,0.67,0.67,0.67,0.81,0.81,0.67",26,0.28,0.43,"Video, Related searches"
사주 속궁합,Informational,320,"0.67,0.67,0.54,0.54,0.81,0.81,1.00,0.81,0.67,0.54,1.00,0.81",10,0.45,0.23,"Image pack, Video, Video carousel, Related searches"
사주 테스트,Informational,320,"0.67,0.67,0.54,0.67,0.67,0.81,1.00,0.67,0.67,0.81,0.81,0.81",24,0.11,0.30,"Video, Related searches, Ads top, Ads middle"
우리 궁합,Navigational,320,"0.82,0.82,0.82,0.67,0.82,0.82,0.82,0.67,0.67,0.67,1.00,0.82",9,0.00,0.01,Related searches
원숭이 띠 궁합,Informational,320,"0.67,0.67,0.67,0.82,1.00,1.00,1.00,1.00,0.82,0.67,0.82,0.82",15,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
이름 궁합 사이트,Informational,320,"0.07,0.06,0.04,0.09,0.09,0.24,0.30,0.20,0.55,0.55,0.62,1.00",15,0.36,0.01,"Reviews, Video, Related searches"
4 살 차이 궁합,Informational,260,"1.00,1.00,1.00,1.00,0.66,0.81,0.81,0.81,0.66,0.66,0.66,0.53",18,0.00,0.02,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
entp intp 궁합,Informational,260,"1.00,1.00,0.81,0.81,1.00,1.00,1.00,0.81,1.00,1.00,1.00,1.00",23,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
estj infp 궁합,Informational,260,"0.66,0.81,0.66,0.81,0.81,1.00,0.81,0.53,0.66,0.66,0.81,0.53",24,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
intj intp 궁합,Informational,260,"1.00,0.81,1.00,1.00,1.00,1.00,1.00,0.81,1.00,1.00,1.00,0.81",25,0.00,0.33,"AI Overview, Video, Related searches"
intp infj 궁합,Informational,260,"0.81,0.66,0.66,0.81,0.81,0.81,0.81,0.66,1.00,0.81,0.66,0.81",25,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
istj intp 궁합,Informational,260,"0.66,0.66,0.66,0.66,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.66",24,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Related searches"
궁합 무료 사이트,Informational,260,"1.00,0.82,1.00,0.44,0.36,0.44,0.54,0.36,0.54,0.44,0.23,0.28",31,0.30,0.20,AI Overview
닭띠 궁합,Informational,260,"0.67,0.54,0.44,0.54,0.67,1.00,0.82,0.82,0.67,0.67,0.67,0.54",15,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
돼지띠 궁합,Informational,260,"0.66,0.81,0.81,0.66,0.66,0.81,1.00,1.00,0.81,0.81,1.00,0.81",10,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, Related searches"
띠 궁합 표,Informational,260,"0.66,0.81,0.81,0.66,0.81,1.00,1.00,0.81,0.81,0.66,0.81,0.81",19,0.00,0.33,"Image pack, Video, People also ask"
로또 궁합 수,Informational,260,"0.81,0.44,0.66,0.81,0.81,0.66,0.81,0.66,0.66,1.00,0.66,1.00",4,0.00,0.33,"Video, Related searches"
무료 속궁합,Informational,260,"0.81,0.66,0.81,0.81,0.53,0.81,0.81,1.00,0.66,0.66,0.66,0.53",12,0.21,0.09,Related searches
소띠 궁합,Informational,260,"0.81,0.81,0.81,0.81,0.66,1.00,1.00,0.66,0.66,0.66,0.81,0.81",6,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
시금치 두부 궁합,Informational,260,"0.10,0.19,0.23,0.44,0.54,0.81,1.00,1.00,0.81,0.67,0.44,0.29",17,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
아 로니아 우유 궁합,Informational,260,"0.26,1.00,0.59,0.21,0.17,0.14,0.14,0.07,0.11,0.11,0.09,0.11",25,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Related searches"
연애 궁합 테스트,Informational,260,"0.67,0.35,0.35,0.44,0.54,0.81,0.67,0.54,0.81,1.00,0.81,1.00",9,0.41,0.11,"Video, Related searches"
일주 궁합,Informational,260,"1.00,1.00,1.00,1.00,1.00,1.00,0.65,1.00,0.65,0.65,0.65,0.54",6,0.61,0.04,"Image pack, Video, Related searches"
커플 궁합 테스트,Informational,260,"1.00,1.00,0.81,1.00,0.65,1.00,1.00,0.65,0.81,1.00,1.00,0.81",20,0.32,0.07,"Image pack, Video, Related searches"
커플 사주,Informational,260,"0.66,0.66,0.66,0.53,0.53,0.81,1.00,1.00,1.00,1.00,1.00,1.00",23,0.43,0.34,"Video, Related searches, Ads bottom"
토끼띠 궁합,Informational,260,"1.00,0.81,0.81,0.81,0.66,1.00,1.00,0.81,0.81,0.81,0.66,0.81",17,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, Short videos, Related searches"
황기 와 궁합,Informational,260,"1.00,0.81,0.81,1.00,1.00,1.00,1.00,0.81,0.66,0.53,0.66,0.81",12,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Related searches"
4 살 차이 는 궁합 도 안본다,Informational,210,"0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.65,0.81,0.81,0.65,0.54",15,0.00,0.01,"AI Overview, Video, Video carousel, Related searches"
entp intj 궁합,Informational,210,"0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,1.00,1.00,0.81,1.00",17,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, Related searches"
infj infp 궁합,Informational,210,"0.81,0.81,0.81,1.00,0.65,0.81,1.00,0.81,0.81,0.81,0.81,0.65",19,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
infp intp 궁합,Informational,210,"0.81,0.66,0.66,0.66,0.34,0.66,0.81,0.66,0.81,0.81,1.00,0.81",20,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
infp istp 궁합,Informational,210,"0.65,0.65,0.54,0.81,0.81,0.81,1.00,0.81,1.00,1.00,1.00,0.81",21,0.00,0.33,"AI Overview, Image pack, Video, Related searches"
intp infp 궁합,Informational,210,"0.81,0.81,0.81,1.00,0.42,0.65,0.81,0.81,1.00,1.00,0.81,1.00",24,0.00,0.33,"Sitelinks, AI Overview, Reviews, Image pack, Video, Related searches"
isfj infj 궁합,Informational,210,"0.81,0.81,0.81,1.00,0.81,1.00,0.65,0.65,0.81,1.00,0.65,0.81",23,0.00,0.33,"AI Overview, Image pack, Video"
