URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://character-seikaku.memo.wiki/d/%A5%AF%A5%EC%A5%E8%A5%F3%A4%B7%A4%F3%A4%C1%A4%E3%A4%F3,1.27,7,612,0,0,3,0,0,0,0,612,0,0,0,-13,,クレヨン しんちゃん mbti,Informational,0
https://character-seikaku.memo.wiki/d/ESTP%A1%CA%B5%AF%B6%C8%B2%C8%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,1.27,20,612,0,0,1,0,0,0,0,611,0,0,0,0,,estp キャラ,Informational,0
https://character-seikaku.memo.wiki/d/%A5%C9%A5%E9%A4%A8%A4%E2%A4%F3,1.07,24,516,0,0,6,0,0,0,0,515,0,0,0,16,,ドラえもん mbti,Informational,0
https://character-seikaku.memo.wiki/d/%A5%EF%A5%F3%A5%D4%A1%BC%A5%B9,1.06,21,511,0,0,4,0,0,0,0,510,0,0,0,0,,ワンピース mbti,Informational,0
https://character-seikaku.memo.wiki/d/Axis%20Powers%20%A5%D8%A5%BF%A5%EA%A5%A2,0.98,11,471,0,0,3,0,0,0,0,470,0,0,0,0,,ヘタリア mbti,Informational,0
https://character-seikaku.memo.wiki/d/ESTJ%A1%CA%B4%C6%C6%C4%BC%D4%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,0.98,5,470,0,0,1,0,0,0,0,470,0,0,0,-4,,estj キャラ,Informational,0
https://character-seikaku.memo.wiki/d/%C5%E1%B7%F5%CD%F0%C9%F1,0.86,7,413,0,0,2,0,0,0,0,413,0,0,0,-58,,刀剣 乱舞 mbti,Informational,0
https://character-seikaku.memo.wiki/d/BLEACH,0.78,6,376,0,1,5,0,0,0,0,376,0,0,0,0,,bleach mbti,Informational,0
https://character-seikaku.memo.wiki/d/ISFP%A1%CA%BA%EE%B2%C8%A1%CB%A4%CE%A5%AD%A5%E3%A5%E9,0.71,7,345,0,0,3,0,0,0,0,345,0,0,0,0,,isfp キャラ,Informational,0
https://character-seikaku.memo.wiki/d/%A5%D7%A5%EA%A5%AD%A5%E5%A5%A2%A5%AA%A1%BC%A5%EB%A5%B9%A5%BF%A1%BC%A5%BA,0.7,5,339,0,1,2,0,0,0,0,339,0,0,0,0,,プリキュア mbti,Informational,0
https://character-seikaku.memo.wiki/d/%A5%C9%A5%E9%A5%B4%A5%F3%A5%DC%A1%BC%A5%EB,0.64,8,310,0,0,4,0,0,0,0,310,0,0,0,-80,,ドラゴンボール mbti,Informational,0
https://character-seikaku.memo.wiki/,0.57,70,274,0,0,8,1,1,0,0,263,0,0,0,23,search-gpt,キャラクター 性格 診断,Informational,1
https://character-seikaku.memo.wiki/d/Fate/Grand%20Order,0.54,10,260,0,0,5,0,0,0,0,260,0,0,0,-8,,fgo mbti,Informational,0
https://character-seikaku.memo.wiki/d/%A5%CF%A5%EA%A1%BC%A1%A6%A5%DD%A5%C3%A5%BF%A1%BC%A5%B7%A5%EA%A1%BC%A5%BA,0.47,13,229,0,2,9,0,0,0,1,228,0,0,0,-14,,ハリー ポッター mbti,Informational,0
https://character-seikaku.memo.wiki/d/%C5%EC%CA%FDproject,0.47,19,228,0,0,1,0,0,0,0,225,0,0,0,0,,東方 mbti,Informational,0
https://character-seikaku.memo.wiki/d/Fate/stay%20night,0.46,6,225,0,0,1,0,0,0,0,225,0,0,0,163,,fate mbti,Informational,0
https://character-seikaku.memo.wiki/d/ISFP-ENFP,0.46,2,221,0,0,2,0,0,0,0,221,0,0,0,0,,enfp isfp,Informational,0
https://character-seikaku.memo.wiki/d/%A5%B5%A5%B6%A5%A8%A4%B5%A4%F3,0.38,20,183,0,0,2,0,0,0,0,183,0,0,0,0,,サザエ さん mbti,Informational,0
https://character-seikaku.memo.wiki/d/INFP-INFJ,0.29,8,142,0,0,4,0,0,0,0,139,0,0,0,1,,infj infp,Informational,0
https://character-seikaku.memo.wiki/d/ISFP-INFP,0.29,3,140,0,0,3,0,0,0,0,140,0,0,0,0,,isfp infp,Informational,0
https://character-seikaku.memo.wiki/d/INFP-INTP,0.26,4,129,0,0,3,0,0,0,0,129,0,0,0,-33,,infp intp,Informational,0
https://character-seikaku.memo.wiki/d/%A5%CF%A5%A6%A5%EB%A4%CE%C6%B0%A4%AF%BE%EB,0.26,18,125,0,0,2,0,0,0,0,122,0,0,0,99,,ハウル mbti,Informational,0
https://character-seikaku.memo.wiki/d/%A5%C8%A5%E9%A5%A4%A5%BF%A5%A4%A5%D7%28%A5%A8%A5%CB%A5%A2%A5%B0%A5%E9%A5%E0%29,0.25,6,122,0,0,4,0,0,0,0,121,0,0,0,0,,トライ タイプ,Informational,0
https://character-seikaku.memo.wiki/d/%A5%A8%A5%CB%A5%A2%A5%B0%A5%E9%A5%E0,0.25,7,122,0,0,1,0,0,0,0,122,0,0,0,0,,エニアグラム キャラクター,Informational,0
https://character-seikaku.memo.wiki/d/%CA%B8%B9%EB%A5%B9%A5%C8%A5%EC%A5%A4%A5%C9%A5%C3%A5%B0%A5%B9,0.25,10,121,0,0,6,0,0,0,0,120,0,0,0,-5,,文豪 ストレイ ドッグス mbti,Informational,0
https://character-seikaku.memo.wiki/d/INFJ-INTJ,0.24,8,118,0,0,5,0,0,0,0,118,0,0,0,-16,,infj intj,Informational,0
https://character-seikaku.memo.wiki/d/ESTP-INFP,0.23,3,115,0,0,2,0,0,0,0,115,0,0,0,0,,estp infp,Informational,0
